content,Sentiment
menjadi sesuatu yang brhrga di era digital skrng,positif
terimakasih utk pelatihannya sangat bermanfaat dan sesuai kebutuhan saat ini,positif
banyak pelatihan yang membantu umkm dan guru yang dilaksanakan,positif
mantap semoga bermanfaat buat saya,positif
kenapa ya kalau aplikasi plat merah pasti ada aja kendalanya dari aplikasi disuruh reset kata sandi tapi malah error terus,negatif
untuk pelatihan sangat bagus tetapi untuk aplikasi terkadang eror pas mau daftar,positif
ok bgt maju terus kominfo indonesia genius digital,positif
kayaknya ga support di versi hp saya ni atau emang lagi error ya gabisa dibuka semoga lebih baik lagi aplikasi nya dan kalo bisa dapat diakses semua versi android,netral
harusnya yg tidak lolos administrasi atau ujian pas masuk pelatihan jangan dibilang tidak luluskarna kata tidak lulus agak terasa menyakitkan kan lulus hanya untuk yg selesai menyelesaikan pembelajaran,netral
semoga bisa diperhatikan lagi case untuk mendaftar lagi setelah dinyatakan selesai masih belum berjalan baik di home tertulis proses namun saat mendaftar tertera masih ada pelatihan belum selesai,negatif
kenapa aplikasi mobile atau website ketika register akun kode otp tidak terkirim di email sudah beberapa kali saya ganti email tetap saja tidak masuk kode otpnya,netral
alhamdulillah dapat link info ini dari teman hidup saya dulu pernah ikut tapi hanya sebatas sosis terkait cakap digital ternyata di dalamnya ada lms dan segudang pelatihan yng bisa dijadikan batu loncatan pekerjaan bagi yang membutuhkan sehingga dapat lanjut ke profesionalitas yang diinginkannya okay lanjutkan dan jangan lupa berbagi pulsa atau giveaway lainnya yaa min,positif
jangan apk doang yang dibenerin tuh web masak baru tekan tes substansi langsung tulisan telah dikerjakan disilang malah tulisan selesai kalo krja yang bener lah,negatif
sangat mmebantu sangat baik semoga kedepannya bisa lebih baik lagi dan fitur kemampuan aplikasi semoga semakin lengkap sesuai dengan masyarakat indonesia,positif
eror aja terus periksa koneksi periksa koneksi benerin dulu aplikasinya jangan nyalahin koneksi,negatif
pengisian survey tidak bisa di skip mengganggu sertifikat g bisa didownload setelah lewat bulan,negatif
sangat baik terus semangat untuk memberi yang terbaik di bidang digitalisasi,positif
aplikasinya bagus tapi hanya untuk orang yang punya ijazah sedangkan yang gak punya ijazah gak ada pelatihannya,negatif
sangat disarankanmateri yang disampaikan sangatlah bermanfaat bagi pelaku umkm dan masyarakat,positif
sangat membantu,positif
aplikasi yg bagus buat menambah ilmu kita dibidang digital selain itu ada banyak pelatihan yg jadi rekomendasi,positif
keren kominfo memberi sarana prasarana agar umkm di indonesia maju dan berkembang,positif
program pelatihan yang sangat menarik yang digagas langsung oleh kaum di semoga aplikasi ini bermanfaat bagi seluruh warga republik indonesia,positif
aplikasi nggak bisa dibuka sebelum lounching mungkin perlu observasi dulu,negatif
semoga dengan adanya apl digitalent mobile bermanfaat untuk belajar menambah wawasan pengetahuan terutama solusi mencari suplayer dan mencari banyaknya customer dan semakin berkembang usaha dan bertambah omset pendapatan,positif
tolong di perbaiki yang untuk bagian domisili untuk pengisian kecamatan dan selanjutnya tidak ada pilihannya hadi tidak bisa melanjutkan pengisian pendaftarannya,netral
baru aja bikin akun dan udah verifikasi tapi pas login email dan password salah terus saya sudah bener bener ngetik email dan passnya mohon jawabannya,negatif
cukup bermanfaat sebagai media dan sarana penyelenggaraan pendidikan serta latihan di era digital,positif
banyak bug nya sering logout sendiri dan request time out saya harap dapat diperbaiki,negatif
aplikasi sampah mau login ja susahmasa emailpassword salah melulu,negatif
aplikasi nya di handphone saya tidak bisa login alias error handphone saya xiaomi redmi note kenapa ya pak,netral
sebenernya nggak terlalu berharap si cuma lucu aja apk pelatihan tapi pelatihannya nggak ada sama sekali,negatif
semoga makin berkembang dan dapat mengembangkan terus skill dan jenjang karier pengguna nya aamiin,positif
semakin maju nanti ajak juga aplikasi lah basis dan bisa yg begini jadi lebih mudah dipahami,positif
kinerja aplikasi sangat buruk buka tutup menu sangat lemot,negatif
bagus dan keren bermanfaat untuk generasi masa kini untuk mengikuti pelatihan yg di minat,positif
login gabisa bisa login nanti logout sendiri karena sesi habis,negatif
mantap bisa pelatihan gratis dengan kemajuan teknologi yang semakin maju,positif
sangat baik dlm pengimplemtasikan pembelajaran melalui digital,positif
infonya uptodate jadi makin terbantu kita dalam mencari pelatihan,positif
gabisa masuk padahal baru aja daftar keterangannya email atau password salah mulu,negatif
untuk server dan fitur fiturnya tolong diperhatikan lagi,positif
duh padahal masih smk blum lulus mau ikut ga bisa wkwksayang bgt padahal mau belajar juga,netral
aplikasi kocak bug nya banyak banget ini project managernya kek mana bisa lolos big gini bnyaknya,negatif
gagal daftar berkalikali garagara gabisa ganti domilisi padahal di keterangannya bisa ganti dom x dalam sebulan,negatif
tolong lah diperbaiki buat daftar aja milih universitas loadingnya lama pada jaringan lancar leg waktu milih data universitas,negatif
crash turus aplikasi jelek jelek gini dapat ada sudah logging app terburuk,negatif
susah sekali daftar banyak salah sandi padahal udah bener capekkk daftar nya,negatif
ini gimana ya saya pernah buat akun udah lama terus saya uninstall aplikasi ini dan sekarang saya install dan login ke akun saya yang lama udah bisa login tapi suruh lengkapi data diri gitu dan disitu ada disuruh isi no ktp saya udah lengkapi data diri termasuk no ktp saya tapi pas saya submit malah ada notif nik sudah terdaftar alhasil saya tidak bisa ikut pelatihan apapun yang ada disitu karena nik saya sudah terdaftar padahal itu pakai akun saya yang lama aneh bangettt tolong solusi,negatif
mau daftar ga bisabisa padahal kapasitas hp dan jaringan internet bagus,negatif
pilihan pelatihannya banyak dan aplikasinya simpel,positif
aplikasinya bagus banget,positif
sangat membantu utk menunjang pendidikan pelatihan,positif
aplikasi pemerintah dengan desain ui paling masuk akal,positif
sangat mudah digunakan,positif
bagus untuk belajar,positif
akun saya sudah terdaftar dari tahun namun saat ini kamis oktober mau login tidak bisa ada apa min ,negatif
sangat membantu,positif
digitalent mobile aplikasi yang sangat smart,positif
sangat bermanfaat untuk talenta digital indonesia,positif
aplikasi bagus untuk belajar dan ikut pelatihan yang diminati,positif
baru isi username udah muncul loading bikin lama isinya,netral
sangat membantu untuk mencari info pelatihan,positif
mudah untuk dijalankan,positif
koq gak bisa masuk ke menu nya min loading d logo nya mulu yg pas awal,positif
sangat membantu dan bermanfaat bisa di buka di mana saja,positif
pengin tambah skill tapi lama updatenya,positif
pertama kali menggunakan loading trus gagal koneksi,netral
belum sempurna sudah di share kemana mana mau melakukan daftar aja sulit,negatif
aplikasinya ngebantu banget buat nyari pelatihan,positif
ini gimana aplikasinya gak bisa buat login tapi kalau lewat web bisa,netral
tolong untuk nomor handphone bisa diubah karena nomor saya ganti sehingga yang lama hilang ini sangat menggangu karena otp dikirim ke sana,positif
sangat bagus untuk meningkatkan kemampuan digitalisasi,positif
mudah penggunaan dan membantu dalam mengikuti pelatihan,positif
aplikasi sangat baik,positif
sangat membantu kita mahasiswa dalam mencari atau melatih skill baru,positif
gabisa masuk ini gagal koneksi terus padahal lancar,netral
pelatihan nya sangat fleksibel dan nyaman,positif
aplikasi ini sangat membantu para peserta yg mengikuti pelatihan,positif
aplikasi yg umkm banget mngerti kbutuhan kesulitan kendala jd umkm,positif
sangat membantu untuk menambah skil,positif
sangat bermanfaat bagi para umkm dalam mengembangkan bisnis,positif
banyak pengalaman baru dunia digital,positif
sangat bermanfaat,positif
seharusnya kalian blokir itu game seperti ml pubg ff dll yang hanya banyak mudhorotnya dari pada positifnya mikir otak korupsikerjanya yang bener lah ya rajin apa gak terima,negatif
semoga tahun ini dapat sertifikat tahun lalu ikut sampai selesai tp gak dpt sertifikat,positif
sistem masih lemah lms tidak bisa diakses,negatif
fiturnya belum sepenuhnya berfungsi,netral
mudah diakses,positif
lumayan bagus dan bs membantu pelaku ekraf dlm mengembangkan usahanya amg kedepan bs lebih dikembangkan lagi semangat boleh lelah tapi jangan menyerah,netral
tampilan oke fungsi nya belum di coba,positif
kenapa enggak bisa di buka ya aplikasinyaa,netral
mantap dg aplikasi digitalent tambah mudah,positif
dari kestabilan aplikasinya aja saya udah seneng min,positif
mau daftar gagal terus tulisan muat halaman perbaiki ya,negatif
bagus sih buat yang butuh aplikasi pelatihan gratis,positif
pelatihan ini bisa meningkatkan literasi digital,positif
proses kelulusannya lama jd susah ikut pelatihan lain,negatif
setelah di download ternyata tidak bisa membuka dn tidak bisa di gunakan sebagai manah mestinya,negatif
harapan saya umur mau tapi belum dapat kerja minta doanya temanteman saya ngga minta mulukmuluk cuma buat hidup sampai tahun kedepan udah itu aja terimakasih,positif
aplikasi sangat lambat dan sering eror,negatif
sangat membantu sekali dalam mengembangkan kemampuan dan bisnis,positif
gak work masak setiap pilih pelatih selalu gagal terus,negatif
hayuk para pelaku umkm segera ikuti pelatihan yg ada di digitalent pokokny bikin kamu cepet naek level deh,positif
data pelatihan saya di mobile dengan di web berbeda,negatif
sangat bagus untuk mengembangkan bisnis di dunia marketing,positif
sesuai dengan fungsinya,positif
banyak bug delaynya minta ampun,negatif
ga niat buat banyak bug sekelas kominfo aneh,negatif
pelatihan inisangat membantu dalam menciptakan sdm yg tangguh dan bermutu khususnya generasi muda dalam mengembangkan bisnis digitaldengan adanya sertifikasi dari kominfo initerimakasih,positif
sangat membantu pada saat pelatihan,positif
asik sekali dari hp bisa belajar ilmu yg hebat trims kominfo digital talent,positif
aplikasinya cukup membantu untuk proses pembelajaran,positif
terima kasih digitalent sering mengadakan training tiap tahun,positif
sangat bermanfaat banyak ilmu dan sangat membantu,positif
pelatihan nya banyak dan berkualitas,positif
makin banyak kemudahan dalam mengakses informasi,positif
menarik dan sangat membantu,positif
app yang sangat berguna untuk enterpreneurbanyak manfaat nya,positif
menyenangkan menelusuri pengalaman baru digital,positif
ok sangat membantu program diperbanyak untuk membantu menunjang ddunia kerja usaha,positif
aplikasi yang bagus dan baik untuk indonesia emas ,positif
saya mau check on nyangkut terus di loading sehabis tekan tombol check in,negatif
sekelas kementerian kok website dan aplikasinya lag wkwkwk,negatif
di tampilan awal tidak memberikan opsi daftar akun jdi harus bukak dri web,netral
tidak bisa di buka apk ini lemot banget,negatif
terima kasih kakak nya baik dan saya sangat apresiasi terhadap keramahan kakaknya terima kasih,positif
bagus untuk mencari kursus secara gratis,positif
semoga dapat memberikan pelatihan yg bermanfaat buat banyak orang,positif
alhamdulillah lumayan terbantu dengan adanya aplikasi ini,positif
sangat bermanfaat unt menambah wawasan saya terimakasih,positif
selalu memberikan ilmu yg bermanfaat buat para pelaku usaha dan umkm lainnya,positif
sangat bermanfaat untuk pengembangan diri,positif
good app mantap terus maju kominfo,positif
tidak bisa dibuka sama sekali,negatif
terima kasih kominfo,positif
aplikasi ini sangat bagus sekali untuk mengupgrade pengetahuanjoss admin,positif
apps tidak bisa dibuka,negatif
lain kali hire qa juga ya kak aplikasinya aneh,negatif
boleh dicoba,positif
oke lg coba,positif
daftar gagal terus email pw udh bnr sama loh ampe bikin x sama ajapun ga jelas,negatif
tetap eksis dan mantapp,positif
aplikasi ini blum terlalu faham sy gunakan,negatif
susah absen error terus,negatif
layanan ini seperti masih beta dan sudah di publish,negatif
menarik dan sangat bermanfaat,positif
aplikasi hasil korupsi,negatif
kok yg muncul logo android,positif
aplikasi sangat membantukeren kerenn,positif
aplikasi yg sangat bermanfaat untuk mendapatkan informasi seputar teknologi terbaru informasi pengembangan umkm dan perkembangan para entrepreneursip,positif
masalah absen untuk pelatihan nya itu tolong diperbaiki lagi ngerugiin yang makai,negatif
bagus bermanfaat,positif
informasi keikutsertaan pelatihan di web pada perangkat komputer berbeda dengan tampilan pada aplikasi smartphone,negatif
appikasinya keren dan luar biasa,positif
alhamdulillah bisa sekolah lagi terima kasih digitalent,positif
nice aplikasi untuk pelatihan,positif
mantabs yg nggk tau jadi tau terimakasih admin,positif
sangat membantu utk memilih pelatihzn yg ada,positif
gaada anggarannya kah ini apk tolong perbaiki lagi,negatif
terimakasih digitalent mobile,positif
seneng bisa gabung disini banyak peluang mengembangkan bisnis,positif
boleh nggak untuk junior web dev ada bahasa javascript,positif
mantull dah ikut pelatihan lancar semuaaa kelasnya uptodate pematerinya keren kominfo,positif
dengan digitalent saya dapat mengakses informasi pelatihan yg diadakan oleh kominfo,positif
terimakasih semoga bisa bermanfaat sebaik mungkin,positif
dahlah capek sendiri sama appnya,negatif
mantap buat informasi pelatihan vsga,positif
bagus dapat diterapkan,positif
saya tdk bisa menginstal aplikasinya,netral
bergerak bidang sosial khususnya dalam tanggap darurat bencana,positif
aplikasi yg yg tidak berguna,negatif
sangat membantu sekali,positif
bagus respon cepat,positif
wadah pengembangan diri yg supportiveo,positif
saya tidak bisa merubah data diri,positif
aplikasi bagus dan sangat berguna,positif
ribet kok pake zonasi,negatif
program aplikasi yang sangat bermamfaat,positif
semoga aplikasi kominfo semakin baik,positif
aplikasi yang membantu proses pelatihan yg diselenggarakan oleh kominfo,positif
pelatihan yang bagus,positif
bagus dan lengkap,positif
ui ux bagus,positif
aplikasi sangat membantu digiers,positif
bismillah besok kita pelatihan selama dua hari,positif
gak bisa masuk pdhl pelatihan tinggal besuk,negatif
jelek bgt apk nya di akses loding lambat,negatif
aplikasi tidak userfriendly,negatif
bagus bgt aplikasinya,negatif
bagus dan bermanfaatkan,positif
alhandulillah menambah ilmu di bidang gidital,positif
mantap aplikasinya friendly,positif
gangguan internet server suka lama,negatif
aplikasi ngak bisa di buka,negatif
mohon perbaiki total aplikasinya dan evaluasi tim vendornya,negatif
semoga bermanfaat untuk bangsa dan negara,positif
gak bisa daftar,negatif
bagussss udah x ikut pelatihan digitalen kominfo,positif
jelek loading lama,negatif
bagus dan rekomended,positif
mantap sangat membantu,positif
mudah untuk belajar,positif
kadang sulit mendaftar akun,netral
semoga bermanfaat bagi kira semua,positif
banyak sekali ilmu yg di dapat,positif
oke bgt buat tambah slikk,positif
tidak bisa login error terus,negatif
aplikasi ngantuk ini mah,negatif
dulu pernah ikut lomba mtq di wisata dander dapat juara sejawatimur,positif
ditunggu pelatihan selanjutnya,positif
bagus banget aplikasinya,positif
jelek tiap absen ngebug terus,negatif
informasi mudah d dapat,positif
mantap semoga mendapatkan ilmu yang bermanfaat,positif
lagi lagi apa yak betul korupsi bts gpiring,negatif
mantab sekali aplikasi inj,positif
keren dan bermanfaat,positif
mantab luar biasa,positif
aplikasi yanh bagus,positif
mantap langjutkan,positif
sayange to mahasiwa atau pegawaigmn ysng nasibnya orang umum atau hanya lulusan sma,negatif
aplikasinya keren,positif
sangat membantu,positif
sangat bermemfaat,positif
aplikasi yg sangat bagus,positif
sangat membantu,positif
aplikasi yang sangat membantu,positif
nyoba ikut pelatihansemoga lulus dgn baik,positif
bagus banget ilmunya,positif
aplikasi yang bagus,positif
sangat mendukung,positif
baru nyoba pakai kasih bintang empat dulu,positif
sangant membantu dan bermanfaat,positif
lelet parah aplikasinya,netral
terimakasih sangat bermanfaat,positif
masih ada bug,positif
baik sekali,netral
melayani dan mencerdaskan bangsa indonesia,positif
tolong lah appsnya inj kenapaaaa,negatif
sangat bermanfaat,positif
kode otp ga masuk masuk,negatif
tambahin mode gelap min mwehehehehe,positif
aplikasi yg bagus,positif
baik utk digunakan,positif
sangat membatu untuk saya,positif
awal yang bagus,positif
sangat membantu,positif
sangat membantu,positif
mantap pelatihannya,positif
sangat bermanfaat,positif
ilmunya sangat bermanfaat,positif
sangat membantu,positif
oke mantap nih kominpo,positif
cukup membantu,positif
bagus terima kasih ya,positif
sangat membantu,positif
alhamdulillah lancar aja,positif
sangat membantu,positif
mantap kominfo yess,positif
sangat bermanfaat,positif
alhmdllah terbaik dan sukses,positif
alhamdulillah nambah pengetahuan,positif
mengolah buah dan sayur menjadi kuliner khas lombok,positif
banyak membantu,positif
lebih memudahkan,positif
bismillah semoga bisa menambah ilmu pengetahuan,positif
memajukan sdm bangsa,positif
kerenn pokoknya deh,positif
sangan membantu,positif
maju terus untuk umkm,positif
sangat mendidik,positif
baru dapet seperti,positif
belum baru akan mulai,netral
semoga mendapat ilmu yg bermanfaat,positif
maudi pelajari dulu,positif
okee membantu,positif
semoga bermanfaat,positif
mantaps sukses slalu kemmominfo,positif
aplikasi nya ok,positif
masi belajar,positif
mud ah dan banyan manfaat,positif
bagus sekali,positif
coba dulu ya,negatif
mudah digunakan,positif
sngt membantu,positif
semoga bermanfaat,positif
sangt memuaskan,positif
yuk install yuk,positif
tes dulu ya,netral
yuk ikutan dts,positif
kerenilmu daging,positif
mantap bas q thank all,positif
oke,positif
ok,positif
mantap,positif
mantap,positif
good,positif
good,positif
oke,positif
goksss,positif
keren,positif
ok,positif
great,positif
bagus,positif
bagus,positif
kerennn,positif
goood,positif
keren,positif
mantap,positif
sangat baik,positif
good,positif
bravo ,positif
mantap,positif
ok,positif
oke,positif
ok,positif
mantap,positif
mantap,positif
good job,positif
digitalet mobile mantap,negatif
okeh,netral
terimakasih,positif
keren,positif
baik,positif
keren,positif
biiznillah,positif
good,positif
mantap,positif
ok,positif
good,positif
bagus,positif
bagus,positif
amazing,positif
mantap,positif
bermanfaat,positif
keren,positif
well done,positif
sangat baik,positif
hai nama saya arief wijaya putra saya dari indonesia why me the unknown google sir how it can to be known atuh maam,positif
helpdesk slow respon,negatif
keren,positif
mayan,positif
sangat bagus,positif
thankyou digitalent,positif
on precess ikut pelatihan,positif
mantap,negatif
kreen,positif
lambar,negatif
keren,positif
mantap,positif
good,positif
keren,positif
ok,positif
manteb,positif
good,positif
good,positif
baik,positif
mantap,positif
bagus,positif
mantul,positif
good,positif
mantap,positif
good,positif
bagus,positif
membantu,positif
nice,positif
gokilll,positif
good,positif
oke,positif
good,positif
mantab,positif
good,positif
mudah,positif
ok,positif
mantap,positif
terbaik,positif
bagus,positif
ok,positif
majuuu,positif
bagus,positif
mantap,positif
keren,positif
bagus,positif
bagus,positif
good,positif
mantap,positif
nice,positif
bagus,positif
mantap,positif
bagus,positif
bagus,positif
bermanfaat,positif
nice,positif
puas,positif
bagus,positif
jos,positif
good,positif
mantap,positif
kerenn,positif
bermanfaat,positif
niceee,positif
bagus,positif
baik,positif
jos,positif
mantap,positif
oke,positif
mantpa,positif
mantab,positif
bagus,positif
bagus,positif
keren,positif
siip,positif
bagus,positif
good,positif
mantap,positif
best,positif
aplikasi bagus,positif
digitalent oke,positif
baik lah,positif
bagus banget,positif
bagus lahhhhhhh,positif
sangat baik,positif
goood apps,positif
keren euy,positif
ok banget,positif
quick resvon,positif
sangat baik,positif
sangat puassss,positif
good aplikasi,positif
suka banget,positif
nice banget,positif
keren bingitssss,positif
good,positif
sangat membantu aplikasi ini mengikuti perkembangan jaman yang serba moderengood job,positif
good jobs,positif
joz very bermanfaat,positif
good,positif
mantap,positif
ok,positif
nice,positif
ok,positif
baik,positif
tempat belajar ilmu baru,positif
cukup lah,netral
ok bgeeeet,positif
coba dulu,positif
platform mantep,positif
bagus mntap,positif
fasilitator pembelajaran digital,positif
cepat dan user friendly,positif
ok,negatif
mutakhir,positif
ok,positif
mantap,positif
ok,positif
bermanfaat,positif
mantap,positif
ok,positif
baik,positif
keren,positif
mantap,positif
good,positif
bermanfaat,positif
ok,positif
bagus,positif
the best,positif
ok,positif
mantap,positif
good,positif
ok,positif
good,positif
mantap,positif
bagus,positif
bagus,positif
bagus,positif
mantap,positif
good,positif
keren,positif
ok,positif
bagus,positif
great,positif
good,positif
is the best,positif
terimakasih,positif
oke,positif
bagus,positif
mantap,positif
mantap,positif
bagus,positif
bagus,positif
bagus,positif
ok,positif
baik,positif
bismillah,positif
bagus,positif
ok,positif
bagus,positif
membantu,positif
mantap,positif
keren,positif
good,positif
mantap,positif
good,positif
sangat baik,positif
very good,positif
good job,positif
very good,positif
sangat mmbantu,positif
sangat baik,positif
keren sih,positif
selalu lancar,positif
jos gandos,positif
oke gas,positif
sangat bagus,positif
bismillah ya,positif
best,positif
mantap,positif
aplikasi ini sangat berguna untuk selfdevelopment saya melalui pelatihanpelatihan yang ditawarkan,positif
mantap,positif
upgrade skill bersama digitalent,positif
menambah soft skill di dts,positif
banyak bugs,netral
ok banget,positif
sangat bagus,positif
bagus,positif
keren,positif
bagus,positif
bbagus,positif
terbaik,positif
amazing,positif
bermanfaatt,positif
terbaik,positif
good,positif
kereeerrnnnnn,positif
keren,positif
mantap,positif
good,positif
kerenn,positif
mantap,positif
good,positif
good job,positif
good apps,positif
apik poll,positif
good job,positif
note type string is not a subtype of type int of index saya tidak bisa login oktober jam ,netral
network error pdhl mbps anjg,negatif
auto logout,negatif
istimewa,positif
terbaik,positif
good,positif
nice,positif
hebat,positif
best alhamdulillah,positif
bagus,positif
sukses selalu,positif
sangat baik,netral
good,positif
banyak bug,negatif
ngecrash blok,negatif
ampas,negatif
ok,positif
bagus,positif
bagus,positif
bagus,positif
ok,positif
good aplikasi,positif
